code,role
708688,{"id":12,"name":"chu_708688"}
701962,{"id":13,"name":"chu_701962"}
701369,{"id":136,"name":"cha_701369"}
700086,{"id":145,"name":"700086_kuriaeast_migori"}
701832,{"id":146,"name":"701832_gem_siaya"}
709247,{"id":147,"name":"709247_kuresoinorth_nakuru"}
709960,{"id":148,"name":"709960_naivasha_nakuru"}
701889,{"id":149,"name":"701889_kamukunji_nairobi"}
708077,{"id":150,"name":"708077_nakurunorth_nakuru"}
702248,{"id":151,"name":"702248_dagorettisouth_nairobi"}
703965,{"id":152,"name":"703965_bureti_kericho"}
700977,{"id":153,"name":"700977_mumiaseast_kakamega"}
701349,{"id":154,"name":"701349_kipkelionwest_kericho"}
702198,{"id":155,"name":"702198_ruaraka_nairobi"}
601751,{"id":156,"name":"601751_kaloleni_kilifi"}
708789,{"id":157,"name":"708789_mathare_nairobi"}
602414,{"id":158,"name":"602414_subacentral_homabay"}
602755,{"id":159,"name":"602755_lungalunga_kwale"}
602419,{"id":160,"name":"602419_gem_siaya"}
602206,{"id":161,"name":"602206_homabaytown_homabay"}
709736,{"id":162,"name":"709736_mbeerenorth_embu"}
703129,{"id":163,"name":"703129_subasouth_homabay"}
705835,{"id":164,"name":"705835_belgut_kericho"}
702044,{"id":165,"name":"702044_kamukunji_nairobi"}
709244,{"id":166,"name":"709244_kuresoisouth_nakuru"}
710051,{"id":167,"name":"710051_njoro_nakuru"}
703541,{"id":168,"name":"703541_molo_nakuru"}
601071,{"id":169,"name":"601071_nandihills_nandi"}
600060,{"id":170,"name":"600060_gem_siaya"}
700515,{"id":171,"name":"700515_shinyalu_kakamega"}
600350,{"id":172,"name":"600350_rachuonyonorth_homabay"}
600383,{"id":173,"name":"600383_rachuonyosouth_homabay"}
708598,{"id":174,"name":"708598_langata_nairobi"}
709934,{"id":175,"name":"709934_naivasha_nakuru"}
711712,{"id":176,"name":"711712_nakurunorth_nakuru"}
701788,{"id":177,"name":"701788_mathirawest_nyeri"}
701957,{"id":178,"name":"701957_embakasinorth_nairobi"}
601352,{"id":179,"name":"601352_kienieast_nyeri"}
700632,{"id":180,"name":"700632_lugari_kakamega"}
700501,{"id":181,"name":"700501_shinyalu_kakamega"}
708503,{"id":182,"name":"708503_nakuruwest_nakuru"}
601826,{"id":183,"name":"601826_magarini_kilifi"}
602400,{"id":184,"name":"602400_gem_siaya"}
711388,{"id":185,"name":"711388_chesumei_nandi"}
701070,{"id":186,"name":"701070_mwinginorth_kitui"}
700104,{"id":187,"name":"700104_kuriaeast_migori"}
702175,{"id":188,"name":"702175_dagorettisouth_nairobi"}
708484,{"id":189,"name":"708484_subanorth_homabay"}
711448,{"id":190,"name":"711448_gilgil_nakuru"}
600477,{"id":191,"name":"600477_ugunja_siaya"}
709001,{"id":192,"name":"709001_kibra_nairobi"}
711809,{"id":193,"name":"711809_awendo_migori"}
601052,{"id":194,"name":"601052_nakurunorth_nakuru"}
700290,{"id":195,"name":"700290_tetu_nyeri"}
705595,{"id":196,"name":"705595_manyatta_embu"}
703163,{"id":197,"name":"703163_rachuonyonorth_homabay"}
710246,{"id":198,"name":"710246_nandihills_nandi"}
709346,{"id":199,"name":"709346_malindi_kilifi"}
602410,{"id":200,"name":"602410_rachuonyoeast_homabay"}
705163,{"id":201,"name":"705163_ainamoi_kericho"}
700761,{"id":202,"name":"700761_navakholo_kakamega"}
602733,{"id":203,"name":"602733_rachuonyosouth_homabay"}
701996,{"id":204,"name":"701996_starehe_nairobi"}
700833,{"id":205,"name":"700833_butere_kakamega"}
700885,{"id":206,"name":"700885_likuyani_kakamega"}
701097,{"id":207,"name":"701097_mwingicentral_kitui"}
701770,{"id":208,"name":"701770_tetu_nyeri"}
600512,{"id":209,"name":"600512_ugunja_siaya"}
600219,{"id":210,"name":"600219_ndhiwa_homabay"}
600069,{"id":211,"name":"600069_gem_siaya"}
709408,{"id":212,"name":"709408_kaloleni_kilifi"}
703532,{"id":213,"name":"703532_molo_nakuru"}
701929,{"id":214,"name":"701929_westlands_nairobi"}
702266,{"id":215,"name":"702266_dagorettisouth_nairobi"}
700511,{"id":216,"name":"700511_shinyalu_kakamega"}
601674,{"id":217,"name":"601674_kasarani_nairobi"}
710610,{"id":218,"name":"710610_ruaraka_nairobi"}
702218,{"id":219,"name":"702218_mathare_nairobi"}
701726,{"id":220,"name":"701726_mbeerenorth_embu"}
600313,{"id":221,"name":"600313_nyatike_migori"}
701870,{"id":222,"name":"701870_embakasieast_nairobi"}
709320,{"id":223,"name":"709320_malindi_kilifi"}
701995,{"id":224,"name":"701995_embakasinorth_nairobi"}
601189,{"id":225,"name":"601189_tinderet_nandi"}
701967,{"id":226,"name":"701967_embakasicentral_nairobi"}
701073,{"id":227,"name":"701073_mwinginorth_kitui"}
701872,{"id":228,"name":"701872_dagorettinorth_nairobi"}
702049,{"id":229,"name":"702049_starehe_nairobi"}
600480,{"id":230,"name":"600480_ugenya_siaya"}
702154,{"id":231,"name":"702154_starehe_nairobi"}
700091,{"id":232,"name":"700091_kuriaeast_migori"}
709317,{"id":233,"name":"709317_malindi_kilifi"}
602371,{"id":234,"name":"602371_rachuonyoeast_homabay"}
700089,{"id":235,"name":"700089_kuriaeast_migori"}
708673,{"id":236,"name":"708673_embakasisouth_nairobi"}
700522,{"id":237,"name":"700522_shinyalu_kakamega"}
711213,{"id":238,"name":"711213_emgwen_nandi"}
702063,{"id":239,"name":"702063_ruaraka_nairobi"}
701284,{"id":240,"name":"701284_kituicentral_kitui"}
701217,{"id":241,"name":"701217_kituicentral_kitui"}
700815,{"id":242,"name":"700815_butere_kakamega"}
701352,{"id":243,"name":"701352_kipkelionwest_kericho"}
702221,{"id":244,"name":"702221_mathare_nairobi"}
701304,{"id":245,"name":"701304_embakasisouth_nairobi"}
702152,{"id":246,"name":"702152_dagorettisouth_nairobi"}
701294,{"id":247,"name":"701294_embakasieast_nairobi"}
708477,{"id":248,"name":"708477_gilgil_nakuru"}
700982,{"id":249,"name":"700982_mumiaseast_kakamega"}
601784,{"id":250,"name":"601784_kilifinorth_kilifi"}
708762,{"id":251,"name":"708762_embakasisouth_nairobi"}
600365,{"id":252,"name":"600365_rachuonyonorth_homabay"}
709480,{"id":253,"name":"709480_ganze_kilifi"}
703169,{"id":254,"name":"703169_rachuonyonorth_homabay"}
711808,{"id":255,"name":"711808_awendo_migori"}
708492,{"id":256,"name":"708492_rongai_nakuru"}
701372,{"id":257,"name":"701372_sunawest_migori"}
600748,{"id":258,"name":"600748_matungu_kakamega"}
708506,{"id":259,"name":"708506_nakuruwest_nakuru"}
600215,{"id":260,"name":"600215_ndhiwa_homabay"}
701960,{"id":261,"name":"701960_kamukunji_nairobi"}
711651,{"id":262,"name":"711651_ganze_kilifi"}
712785,{"id":263,"name":"712785_njoro_nakuru"}
702288,{"id":264,"name":"702288_embakasiwest_nairobi"}
700453,{"id":265,"name":"700453_lungalunga_kwale"}
700452,{"id":266,"name":"700452_lungalunga_kwale"}
711456,{"id":267,"name":"711456_gilgil_nakuru"}
601171,{"id":268,"name":"601171_subukia_nakuru"}
702125,{"id":269,"name":"702125_dagorettisouth_nairobi"}
711192,{"id":274,"name":"711192_kipkelionwest_kericho"}
701731,{"id":279,"name":"701731_matungu_kakamega"}
702283,{"id":284,"name":"702283_kibra_nairobi"}
700966,{"id":289,"name":"700966_mumiaseast_kakamega"}
700976,{"id":294,"name":"700976_mumiaseast_kakamega"}
700387,{"id":299,"name":"700387_malava_kakamega"}
701919,{"id":304,"name":"701919_dagorettinorth_nairobi"}
